,total_item_quantity,pct_funded_1mo,school_kipp,total_price_excluding_optional_support
0,2.0,1.0,0,549.48
1,3.0,1.0,0,395.6
2,1.0,1.0,0,217.54
3,2.0,0.0,0,521.75
4,13.0,0.264432351884621,0,751.61
5,2.0,0.7281794479162356,0,241.63
6,5.0,0.551804726045183,0,231.06
7,37.0,0.0,0,288.42
8,2.0,1.0000000000000002,0,529.42
9,1.0,1.0,0,157.88
10,2.0,0.0,0,510.92
11,1.0,0.061305511956421394,0,541.55
12,3.0,1.0,0,645.84
13,3.0,0.07171171171171171,0,360.75
14,2.0,1.0,0,427.68
15,15.0,0.0,0,463.55
16,55.0,0.12690699820837179,0,368.38
17,15.0,1.0,0,319.28
18,15.0,0.25444530922588754,0,334.06
19,95.0,0.0,0,305.72
20,1.0,0.0,0,1155.96
21,6.0,1.0,0,206.72
22,2.0,0.0,0,853.98
23,135.0,1.0,0,762.17
24,2.0,0.0,0,732.18
25,2.0,1.0,0,132.35
26,3.0,1.0,0,361.9
27,28.0,0.0,0,185.58
28,1.0,1.0,0,447.99
29,4.0,0.255557114509631,0,498.91
30,1.0,0.0,0,312.3
31,33.0,0.0,0,404.72
32,23.0,0.0,0,239.68
33,8.0,1.0,0,175.66
34,4.0,0.034053246895145134,0,274.57
35,3.0,0.022489152291247753,0,377.96
36,30.0,0.0,0,391.01
37,11.0,0.2527009406724411,0,429.48
38,1.0,1.0,0,284.92
39,20.0,0.01067892858937635,0,397.98
40,4.0,0.0,0,691.56
41,13.0,1.0,0,146.63
42,13.0,0.0,0,797.98
43,3.0,0.25580835439990374,0,166.14
44,3.0,0.0,0,674.31
45,5.0,0.0,0,148.86
46,2.0,0.5723201948523384,0,853.98
47,1.0,1.0,0,224.69
48,1.0,0.11275003979413169,0,376.94
49,1.0,0.07267648986804229,0,701.74
50,71.0,0.0,0,652.95
51,2.0,1.0,0,184.74
52,2.0,0.0,0,853.98
53,43.0,1.0,0,454.98
54,2.0,0.0,0,853.39
55,11.0,0.0,0,777.43
56,3.0,1.0,0,303.9
57,7.0,0.0,0,344.58
58,1.0,0.0,0,447.99
59,1.0,0.13057036206393338,0,650.99
60,4.0,0.0,0,849.94
61,46.0,0.0,0,435.51
62,7.0,1.0,0,265.93
63,42.0,0.253051503423638,0,335.9
64,2.0,0.14038560652204468,0,853.72
65,2.0,0.0,0,711.88
66,2.0,0.4913143332768161,0,648.77
67,11.0,1.0,0,227.99
68,1.0,0.22308660336345953,0,262.23
69,24.0,0.0,0,512.9
70,2.0,0.0,0,800.36
71,10.0,1.0,0,148.45
72,2.0,1.0,0,142.1
73,5.0,1.0,0,178.96
74,15.0,0.0,0,138.45
75,15.0,1.0,0,848.96
76,1.0,0.0,0,423.82
77,10.0,0.3389154704944179,0,752.4
78,1.0,1.0,0,782.94
79,2.0,0.6802442881291237,0,366.78
80,32.0,0.8970570498130503,0,497.46
81,4.0,1.0000000000000002,0,225.67
82,1.0,0.44415182677033693,0,478.44
83,1.0,0.9975062344139651,0,376.94
84,2.0,0.5927974508507184,0,831.65
85,5.0,0.0,0,302.17
86,32.0,0.24199279535373833,0,408.07
87,25.0,0.02460437286808701,0,357.66
88,31.0,0.0,0,841.22
89,11.0,1.0,0,644.21
90,5.0,0.0,0,752.45
91,9.0,1.0,0,219.53
92,1.0,1.0,0,376.94
93,15.0,1.0,0,289.69
94,1.0,0.0,0,760.94
95,2.0,1.0000000000000002,0,198.48
96,2.0,0.16709258895223117,0,254.35
97,9.0,1.0,0,411.56
98,30.0,0.35661660971251213,0,318.97
99,15.0,0.03530733429626064,0,249.24
100,20.0,1.8500208287387585,0,8161.8
101,4.0,0.16183899875606103,0,787.82
102,63.0,0.0,0,465.94
103,6.0,1.0,0,191.93
104,1.0,1.0,0,579.94
105,1.0,0.14067356311175025,0,431.14
106,4.0,0.1294311121939335,0,492.54
107,2.0,0.7133344760749463,0,758.41
108,8.0,1.0,0,344.57
109,75.0,1.0,0,440.47
110,11.0,1.0000000000000002,0,148.35
111,1.0,1.0,0,447.99
112,9.0,0.0,0,396.3
113,1.0,0.857653745449901,0,313.18
114,1.0,0.0,0,384.24
115,53.0,0.0,0,289.38
116,1.0,0.18401454797367509,0,230.96
117,2.0,0.0,0,395.98
118,8.0,1.0,0,468.89
119,5.0,0.9999999999999998,0,323.29
120,51.0,0.0,0,338.15
121,1.0,0.37947275608830555,0,447.99
122,14.0,1.0523205712175305,0,324.92
123,62.0,0.02335999120565037,0,363.87
124,62.0,0.9999999999999999,0,244.33
125,4.0,1.0,0,484.56
126,2.0,0.4297184773988898,0,403.52
127,2.0,0.10785392264716669,0,927.18
128,16.0,0.9999999999999999,0,203.58
